,name,overall_runs,overall_innings,overall_balls,strike_rate,overall_notout,overall_average,zeros,thirties,fifties,centries,home_innings,home_runs,home_not_out_count,home_average,total_home_ball_faced,home_strike_rate,home_zeros,home_30s,home_50s,home_100s,form_innings,form_runs,recent_zeros,recent_30s,recent_50s,recent_100s,recent_not_outs,form_average,total_recent_ball_faced,form_strike_rate,away_innings,away_runs,away_not_out_count,away_average,total_away_ball_faced,away_strike_rate,away_zeros,away_30s,away_50s,away_100s
209,PJ Cummins,20,2,10,200.0,2,inf,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,200.0,2.0,20.0,2.0,0.0,10.0,200.0,0.0,0.0,0.0,0.0
210,A Balbirnie,736,25,546,134.7985347985348,2,32.0,1,9,3,0,3.0,137.0,1.0,68.5,76.0,180.26315789473685,0.0,1.0,1.0,0.0,10.0,242.0,1.0,4.0,0.0,0.0,0.0,24.2,212.0,114.15094339622641,22.0,599.0,1.0,28.523809523809533,470.0,127.44680851063828,1.0,8.0,2.0,0.0
211,MC Henriques,61,3,40,152.5,1,30.5,0,1,0,0,3.0,61.0,1.0,30.5,40.0,152.5,0.0,1.0,0.0,0.0,3.0,61.0,0.0,1.0,0.0,0.0,1.0,30.5,40.0,152.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,JJ Roy,291,11,221,131.67420814479638,0,26.45454545454545,2,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,221.0,2.0,4.0,0.0,0.0,0.0,22.1,183.0,120.76502732240436,11.0,291.0,0.0,26.45454545454545,221.0,131.67420814479638,2.0,4.0,1.0,0.0
213,MR Marsh,150,9,141,106.38297872340424,2,21.428571428571427,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,150.0,1.0,2.0,0.0,0.0,2.0,21.428571428571427,141.0,106.38297872340424,9.0,150.0,2.0,21.428571428571427,141.0,106.38297872340424,1.0,2.0,0.0,0.0
214,E Otieno,4,3,5,80.0,2,4.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,4.0,5.0,80.0,3.0,4.0,2.0,4.0,5.0,80.0,1.0,0.0,0.0,0.0
215,O Thomas,0,1,3,0.0,1,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
216,WB Rankin,11,6,17,64.70588235294117,4,5.5,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,3.0,0.0,0.0,0.0,4.0,5.5,17.0,64.70588235294117,6.0,11.0,4.0,5.5,17.0,64.70588235294117,3.0,0.0,0.0,0.0
217,TD Astle,3,1,5,60.0,0,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,60.0,1.0,3.0,0.0,3.0,5.0,60.0,0.0,0.0,0.0,0.0
218,TL Seifert,655,26,501,130.73852295409182,4,29.77272727272728,1,5,5,0,22.0,614.0,4.0,34.111111111111114,451.0,136.1419068736142,1.0,5.0,5.0,0.0,10.0,288.0,0.0,1.0,3.0,0.0,1.0,32.0,229.0,125.764192139738,4.0,41.0,0.0,10.25,50.0,82.0,0.0,0.0,0.0,0.0
219,Mohammad Nadeem,68,9,90,75.55555555555556,3,11.333333333333336,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,68.0,2.0,0.0,0.0,0.0,3.0,11.333333333333336,90.0,75.55555555555556,9.0,68.0,3.0,11.333333333333336,90.0,75.55555555555556,2.0,0.0,0.0,0.0
220,SM Sharif,45,5,37,121.62162162162164,3,22.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,45.0,0.0,0.0,0.0,0.0,3.0,22.5,37.0,121.62162162162164,5.0,45.0,3.0,22.5,37.0,121.62162162162164,0.0,0.0,0.0,0.0
221,N Pokana,8,2,10,80.0,2,inf,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,80.0,2.0,8.0,2.0,0.0,10.0,80.0,0.0,0.0,0.0,0.0
222,K Rabada,32,4,33,96.96969696969695,1,10.666666666666666,1,0,0,0,4.0,32.0,1.0,10.666666666666666,33.0,96.96969696969695,1.0,0.0,0.0,0.0,4.0,32.0,1.0,0.0,0.0,0.0,1.0,10.666666666666666,33.0,96.96969696969695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,PADLR Sandakan,19,5,27,70.37037037037038,2,6.333333333333332,0,0,0,0,1.0,1.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,5.0,19.0,0.0,0.0,0.0,0.0,2.0,6.333333333333332,27.0,70.37037037037038,4.0,18.0,1.0,6.0,26.0,69.23076923076923,0.0,0.0,0.0,0.0
224,MRJ Watt,21,4,18,116.66666666666669,3,21.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,0.0,0.0,0.0,0.0,3.0,21.0,18.0,116.66666666666669,4.0,21.0,3.0,21.0,18.0,116.66666666666669,0.0,0.0,0.0,0.0
225,DW Steyn,6,3,6,100.0,2,6.0,1,0,0,0,3.0,6.0,2.0,6.0,6.0,100.0,1.0,0.0,0.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,2.0,6.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,DT Tiripano,107,6,90,118.88888888888887,1,21.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,107.0,0.0,0.0,0.0,0.0,1.0,21.4,90.0,118.88888888888887,6.0,107.0,1.0,21.4,90.0,118.88888888888887,0.0,0.0,0.0,0.0
