name,overall_runs,overall_innings,overall_balls,strike_rate,overall_notout,overall_average,zeros,thirties,fifties,centries,home_innings,home_runs,home_not_out_count,home_average,total_home_ball_faced,home_strike_rate,home_zeros,home_30s,home_50s,home_100s,form_innings,form_runs,recent_zeros,recent_30s,recent_50s,recent_100s,recent_not_outs,form_average,total_recent_ball_faced,form_strike_rate,away_innings,away_runs,away_not_out_count,away_average,total_away_ball_faced,away_strike_rate,away_zeros,away_30s,away_50s,away_100s
RP Burl,319,15,268,119.02985074626864,5,31.9,0,4,1,0,,,,,,,,,,,10.0,197.0,0.0,4.0,0.0,0.0,4.0,32.833333333333336,181.0,108.83977900552486,15.0,319.0,5.0,31.9,268.0,119.02985074626865,0.0,4.0,1.0,0.0
TK Curran,46,7,43,106.97674418604652,4,15.333333333333334,0,0,0,0,3.0,16.0,2.0,16.0,18.0,88.88888888888889,0.0,0.0,0.0,0.0,7.0,46.0,0.0,0.0,0.0,0.0,4.0,15.333333333333334,43.0,106.97674418604652,4.0,30.0,2.0,15.0,25.0,120.0,0.0,0.0,0.0,0.0
Karan KC,175,13,119,147.05882352941177,3,17.5,1,2,0,0,1.0,40.0,1.0,0.0,18.0,222.22222222222223,0.0,1.0,0.0,0.0,10.0,141.0,1.0,2.0,0.0,0.0,3.0,20.142857142857142,84.0,167.85714285714286,12.0,135.0,2.0,13.5,101.0,133.66336633663366,1.0,1.0,0.0,0.0
SE Rutherford,41,3,30,136.66666666666666,0,13.666666666666666,0,0,0,0,1.0,26.0,0.0,26.0,13.0,200.0,0.0,0.0,0.0,0.0,3.0,41.0,0.0,0.0,0.0,0.0,0.0,13.666666666666666,30.0,136.66666666666666,2.0,15.0,0.0,7.5,17.0,88.23529411764706,0.0,0.0,0.0,0.0
GD Phillips,366,12,204,179.41176470588235,3,40.66666666666666,0,3,1,1,11.0,358.0,3.0,44.75,197.0,181.7258883248731,0.0,3.0,1.0,1.0,10.0,236.0,0.0,3.0,1.0,0.0,3.0,33.714285714285715,142.0,166.19718309859155,1.0,8.0,0.0,8.0,7.0,114.28571428571429,0.0,0.0,0.0,0.0
RA Jadeja,101,6,73,138.35616438356163,4,50.5,0,1,0,0,2.0,28.0,0.0,14.0,30.0,93.33333333333333,0.0,0.0,0.0,0.0,6.0,101.0,0.0,1.0,0.0,0.0,4.0,50.5,73.0,138.35616438356163,4.0,73.0,4.0,0.0,43.0,169.7674418604651,0.0,1.0,0.0,0.0
Rubel Hossain,3,1,6,50.0,1,inf,0,0,0,0,,,,,,,,,,,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,50.0,1.0,3.0,1.0,0.0,6.0,50.0,0.0,0.0,0.0,0.0
Hazratullah,396,12,276,143.47826086956522,1,36.0,1,3,0,1,,,,,,,,,,,10.0,223.0,1.0,3.0,0.0,0.0,0.0,22.3,194.0,114.94845360824742,12.0,396.0,1.0,36.0,276.0,143.47826086956522,1.0,3.0,0.0,1.0
Sarfraz Ahmed,67,3,62,108.06451612903226,0,22.33333333333333,0,0,0,0,3.0,67.0,0.0,22.333333333333332,62.0,108.06451612903226,0.0,0.0,0.0,0.0,3.0,67.0,0.0,0.0,0.0,0.0,0.0,22.333333333333332,62.0,108.06451612903226,,,,,,,,,,
S Lamichhane,19,7,26,73.07692307692308,2,3.8,2,0,0,0,,,,,,,,,,,7.0,19.0,2.0,0.0,0.0,0.0,2.0,3.8,26.0,73.07692307692308,7.0,19.0,2.0,3.8,26.0,73.07692307692308,2.0,0.0,0.0,0.0
DM Bravo,32,3,44,72.72727272727273,0,10.666666666666666,1,0,0,0,3.0,32.0,0.0,10.666666666666666,44.0,72.72727272727273,1.0,0.0,0.0,0.0,3.0,32.0,1.0,0.0,0.0,0.0,0.0,10.666666666666666,44.0,72.72727272727273,,,,,,,,,,
L Siaka,173,9,138,125.3623188405797,2,24.714285714285715,1,2,0,0,2.0,56.0,2.0,0.0,29.0,193.10344827586206,0.0,0.0,0.0,0.0,9.0,173.0,1.0,2.0,0.0,0.0,2.0,24.714285714285715,138.0,125.3623188405797,7.0,117.0,0.0,16.714285714285715,109.0,107.33944954128441,1.0,2.0,0.0,0.0
D Ramdin,55,3,54,101.85185185185183,2,55.0,0,0,0,0,,,,,,,,,,,3.0,55.0,0.0,0.0,0.0,0.0,2.0,55.0,54.0,101.85185185185185,3.0,55.0,2.0,55.0,54.0,101.85185185185185,0.0,0.0,0.0,0.0
DJ Willey,14,2,12,116.66666666666669,2,inf,0,0,0,0,,,,,,,,,,,2.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,116.66666666666667,2.0,14.0,2.0,0.0,12.0,116.66666666666667,0.0,0.0,0.0,0.0
Simi Singh,81,14,80,101.25,5,9.0,3,0,0,0,,,,,,,,,,,10.0,60.0,3.0,0.0,0.0,0.0,3.0,8.571428571428571,61.0,98.36065573770492,14.0,81.0,5.0,9.0,80.0,101.25,3.0,0.0,0.0,0.0
PVD Chameera,2,1,2,100.0,0,2.0,0,0,0,0,,,,,,,,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,2.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0
DA Warner,473,11,361,131.02493074792244,6,94.6,1,1,5,1,5.0,227.0,4.0,227.0,167.0,135.92814371257484,0.0,1.0,1.0,1.0,10.0,373.0,1.0,1.0,5.0,0.0,5.0,74.6,302.0,123.50993377483444,6.0,246.0,2.0,61.5,194.0,126.80412371134021,1.0,0.0,4.0,0.0
RR Patel,181,7,120,150.83333333333334,2,36.2,0,1,2,0,,,,,,,,,,,7.0,181.0,0.0,1.0,2.0,0.0,2.0,36.2,120.0,150.83333333333334,7.0,181.0,2.0,36.2,120.0,150.83333333333334,0.0,1.0,2.0,0.0
F du Plessis,264,8,203,130.04926108374383,1,37.71428571428572,0,0,3,0,8.0,264.0,1.0,37.714285714285715,203.0,130.04926108374383,0.0,0.0,3.0,0.0,8.0,264.0,0.0,0.0,3.0,0.0,1.0,37.714285714285715,203.0,130.04926108374383,,,,,,,,,,
MJ Guptill,668,25,448,149.10714285714286,0,26.72,1,9,3,0,23.0,560.0,0.0,24.347826086956523,385.0,145.45454545454547,1.0,9.0,2.0,0.0,10.0,358.0,1.0,3.0,2.0,0.0,0.0,35.8,230.0,155.65217391304347,2.0,108.0,0.0,54.0,63.0,171.42857142857142,0.0,0.0,1.0,0.0
SO Hetmyer,302,17,268,112.68656716417912,3,21.571428571428573,2,2,1,0,6.0,65.0,1.0,13.0,55.0,118.18181818181819,0.0,0.0,0.0,0.0,10.0,242.0,1.0,2.0,1.0,0.0,2.0,30.25,210.0,115.23809523809524,11.0,237.0,2.0,26.333333333333332,213.0,111.26760563380282,2.0,2.0,1.0,0.0
CR Brathwaite,29,5,46,63.04347826086956,0,5.8,2,0,0,0,4.0,20.0,0.0,5.0,22.0,90.9090909090909,2.0,0.0,0.0,0.0,5.0,29.0,2.0,0.0,0.0,0.0,0.0,5.8,46.0,63.04347826086956,1.0,9.0,0.0,9.0,24.0,37.5,0.0,0.0,0.0,0.0
S Snater,10,3,10,100.0,0,3.333333333333333,2,0,0,0,,,,,,,,,,,3.0,10.0,2.0,0.0,0.0,0.0,0.0,3.3333333333333335,10.0,100.0,3.0,10.0,0.0,3.3333333333333335,10.0,100.0,2.0,0.0,0.0,0.0
CAK Rajitha,5,2,12,41.66666666666666,0,2.5,1,0,0,0,,,,,,,,,,,2.0,5.0,1.0,0.0,0.0,0.0,0.0,2.5,12.0,41.666666666666664,2.0,5.0,0.0,2.5,12.0,41.666666666666664,1.0,0.0,0.0,0.0
MH Cross,204,11,171,119.29824561403508,3,25.5,2,1,2,0,,,,,,,,,,,10.0,199.0,2.0,1.0,2.0,0.0,3.0,28.428571428571427,160.0,124.375,11.0,204.0,3.0,25.5,171.0,119.29824561403508,2.0,1.0,2.0,0.0
Zeeshan Maqsood,135,9,136,99.26470588235294,3,22.5,0,0,1,0,,,,,,,,,,,9.0,135.0,0.0,0.0,1.0,0.0,3.0,22.5,136.0,99.26470588235294,9.0,135.0,3.0,22.5,136.0,99.26470588235294,0.0,0.0,1.0,0.0
RD Berrington,304,14,235,129.36170212765958,3,27.63636363636364,1,3,0,0,,,,,,,,,,,10.0,233.0,0.0,2.0,0.0,0.0,2.0,29.125,175.0,133.14285714285714,14.0,304.0,3.0,27.636363636363637,235.0,129.36170212765958,1.0,3.0,0.0,0.0
TK Musakanda,70,3,57,122.80701754385964,0,23.33333333333333,0,1,0,0,,,,,,,,,,,3.0,70.0,0.0,1.0,0.0,0.0,0.0,23.333333333333332,57.0,122.80701754385964,3.0,70.0,0.0,23.333333333333332,57.0,122.80701754385964,0.0,1.0,0.0,0.0
Abdul Shakoor,7,1,6,116.66666666666669,1,inf,0,0,0,0,1.0,7.0,1.0,0.0,6.0,116.66666666666667,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,116.66666666666667,,,,,,,,,,
I Udana,189,11,128,147.65625,4,27.0,0,1,1,0,4.0,33.0,1.0,11.0,20.0,165.0,0.0,0.0,0.0,0.0,10.0,177.0,0.0,1.0,1.0,0.0,3.0,25.285714285714285,121.0,146.28099173553719,7.0,156.0,3.0,39.0,108.0,144.44444444444446,0.0,1.0,1.0,0.0
Khurram Nawaz,132,9,114,115.78947368421052,2,18.857142857142858,0,0,1,0,,,,,,,,,,,9.0,132.0,0.0,0.0,1.0,0.0,2.0,18.857142857142858,114.0,115.78947368421052,9.0,132.0,2.0,18.857142857142858,114.0,115.78947368421052,0.0,0.0,1.0,0.0
Karim Janat,159,10,136,116.91176470588236,1,17.666666666666668,1,0,1,0,,,,,,,,,,,10.0,159.0,1.0,0.0,1.0,0.0,1.0,17.666666666666668,136.0,116.91176470588235,10.0,159.0,1.0,17.666666666666668,136.0,116.91176470588235,1.0,0.0,1.0,0.0
