,Unnamed: 0,date,name,team,opposition,venue,batting_innings,innings_played,previous_average,previous_strike_rate,previous_centuries,previous_fifties,previous_zeros,runs,balls,not_out,previous_thirties,home
1150,1150,2009-03-27,83,6,3,5,,12,24.7,122.133553580922,0,0,0,37,,False,3,1
1151,1151,2009-03-27,54,6,3,5,,5,21.0,118.6335403726708,0,0,0,7,,True,0,1
1152,1152,2009-03-15,305,1,7,26,,0,0.0,0.0,0,0,0,13,,False,0,0
1153,1153,2009-03-15,306,1,7,26,,0,0.0,0.0,0,0,0,27,,False,0,0
1154,1154,2009-03-15,3,1,7,26,,14,27.92307692307692,134.0823405327737,0,1,1,12,,False,4,0
1155,1155,2009-03-15,109,1,7,26,,9,29.375,127.9285884678042,0,1,0,6,,False,2,0
1156,1156,2009-03-15,5,1,7,26,,13,25.38461538461538,108.1966848359421,0,2,1,14,,False,2,0
1157,1157,2009-03-15,4,1,7,26,,3,17.0,83.12020460358058,0,0,1,22,,False,1,0
1158,1158,2009-03-15,110,1,7,26,,8,16.2,108.125,0,0,2,0,,False,1,0
1159,1159,2009-03-15,307,1,7,26,,0,0.0,0.0,0,0,0,4,,False,0,0
1160,1160,2009-03-15,112,1,7,26,,6,4.0,80.55555555555554,0,0,1,2,,False,0,0
1161,1161,2009-03-15,308,1,7,26,,0,0.0,0.0,0,0,0,2,,False,0,0
1162,1162,2009-03-15,184,7,1,26,,4,18.5,99.501287001287,0,1,0,59,,False,0,1
1163,1163,2009-03-15,260,7,1,26,,1,0.0,75.0,0,0,0,6,,False,0,1
1164,1164,2009-03-15,68,7,1,26,,8,20.57142857142857,100.1203112896661,0,0,0,12,,False,2,1
1165,1165,2009-03-15,130,7,1,26,,1,9.0,75.0,0,0,0,23,,True,0,1
1166,1166,2009-03-15,69,7,1,26,,7,18.5,77.39845938375349,0,0,2,8,,False,0,1
1167,1167,2009-03-15,263,7,1,26,,2,22.5,166.6666666666667,0,0,0,4,,True,1,1
1168,1168,2009-06-09,51,6,4,27,,4,10.75,93.2905982905983,0,0,0,24,,True,0,0
1169,1169,2009-06-09,46,6,4,27,,11,29.3,94.95811290343156,0,2,0,33,,False,1,0
1170,1170,2009-06-09,48,6,4,27,,14,18.84615384615385,84.17548103730773,0,2,4,3,,False,0,0
1171,1171,2009-06-09,236,6,4,27,,1,48.0,160.0,0,0,0,0,,False,1,0
1172,1172,2009-06-09,147,6,4,27,,10,31.0,97.45997544603613,0,2,2,29,,False,2,0
1173,1173,2009-06-09,88,6,4,27,,13,16.0,76.14916020434416,0,1,3,15,,True,1,0
1174,1174,2009-06-09,49,6,4,27,,11,22.55555555555556,90.27330299708817,0,0,0,6,,False,2,0
1175,1175,2009-06-09,83,6,4,27,,13,25.81818181818182,126.2917783970416,0,0,0,10,,True,4,0
1176,1176,2009-06-09,54,6,4,27,,6,24.5,118.3057280883368,0,0,0,2,,True,0,0
1177,1177,2009-06-09,24,4,6,27,,21,36.375,113.2622649720125,0,4,0,57,,False,4,0
1178,1178,2009-06-09,235,4,6,27,,3,17.0,66.3533834586466,0,0,1,6,,False,1,0
1179,1179,2009-06-09,251,4,6,27,,2,20.5,152.5641025641026,0,0,0,1,,False,1,0
1180,1180,2009-06-09,36,4,6,27,,16,21.53333333333333,100.9521652864044,0,2,2,22,,False,2,0
1181,1181,2009-06-09,87,4,6,27,,12,32.55555555555556,124.1383253406267,0,2,1,24,,False,2,0
1182,1182,2009-06-09,27,4,6,27,,14,20.92307692307692,97.34234305279632,0,1,0,7,,True,2,0
1183,1183,2009-06-06,149,11,4,9,,3,8.0,42.85714285714285,0,0,1,27,,False,0,0
1184,1184,2009-06-06,150,11,4,9,,3,67.0,76.11672278338945,0,0,0,27,,True,1,0
1185,1185,2009-06-06,283,11,4,9,,1,40.0,90.9090909090909,0,0,0,33,,False,1,0
1186,1186,2009-06-06,309,11,4,9,,0,0.0,0.0,0,0,0,0,,False,0,0
1187,1187,2009-06-06,154,11,4,9,,3,28.5,88.8888888888889,0,0,1,0,,False,1,0
1188,1188,2009-06-06,24,4,11,9,,22,37.58823529411764,112.8247240022103,0,5,0,18,,True,4,0
1189,1189,2009-06-06,222,4,11,9,,6,27.0,100.6965630693096,0,1,0,31,,False,0,0
1190,1190,2009-06-06,36,4,11,9,,17,21.5625,98.93537124994928,0,2,2,21,,True,2,0
1191,1191,2009-06-06,87,4,11,9,,13,31.7,124.3058225816311,0,2,1,8,,False,2,0
1192,1192,2009-06-06,27,4,11,9,,15,21.46153846153846,96.68618684927657,0,1,0,8,,True,2,0
1193,1193,2009-05-07,59,3,2,28,,2,21.0,90.0,0,0,0,33,,False,0,0
1194,1194,2009-05-07,186,3,2,28,,6,15.66666666666667,80.28846153846155,0,0,1,24,,False,0,0
1195,1195,2009-05-07,45,3,2,28,,5,23.0,140.025974025974,0,0,0,6,,False,0,0
1196,1196,2009-05-07,19,3,2,28,,10,67.4,143.6784680697724,0,2,1,0,,False,4,0
1197,1197,2009-05-07,238,3,2,28,,6,35.4,118.1695156695157,0,1,1,4,,False,1,0
1198,1198,2009-05-07,239,3,2,28,,2,4.0,40.0,0,0,1,8,,False,0,0
1199,1199,2009-05-07,310,3,2,28,,0,0.0,0.0,0,0,0,20,,False,0,0
1200,1200,2009-05-07,311,3,2,28,,0,0.0,0.0,0,0,0,2,,False,0,0
1201,1201,2009-05-07,61,3,2,28,,6,25.0,105.3571428571428,0,0,1,0,,False,1,0
1202,1202,2009-05-07,62,3,2,28,,4,2.666666666666667,66.66666666666666,0,0,1,3,,True,0,0
1203,1203,2009-05-07,275,3,2,28,,1,0.0,0.0,0,0,1,2,,False,0,0
1204,1204,2009-05-07,136,2,3,28,,9,19.875,81.17283483997186,0,0,0,16,,False,2,0
1205,1205,2009-05-07,312,2,3,28,,0,0.0,0.0,0,0,0,4,,False,0,0
1206,1206,2009-05-07,139,2,3,28,,9,13.0,91.95190611857278,0,0,2,59,,True,0,0
1207,1207,2009-05-07,138,2,3,28,,12,63.5,118.5078512412853,0,3,0,24,,False,2,0
