,name,overall_runs,overall_innings,overall_balls,strike_rate,overall_notout,overall_average,zeros,thirties,fifties,centries,home_innings,home_runs,home_not_out_count,home_average,total_home_ball_faced,home_strike_rate,home_zeros,home_30s,home_50s,home_100s,away_innings,away_runs,away_not_out_count,away_average,total_away_ball_faced,away_strike_rate,away_zeros,away_30s,away_50s,away_100s,form_innings,form_runs,recent_zeros,recent_30s,recent_50s,recent_100s,recent_not_outs,form_average,total_recent_ball_faced,form_strike_rate
27,Hussain Talat,273,11,239,114.22594142259415,2,30.33333333333333,1,4,1,0,3.0,135.0,2.0,135.0,108.0,125.0,0.0,2.0,1.0,0.0,8.0,138.0,0.0,17.25,131.0,105.34351145038168,1.0,2.0,0.0,0.0,10.0,232.0,1.0,3.0,1.0,0.0,1.0,25.777777777777782,200.0,116.0
28,AA Obanda,270,17,255,105.88235294117645,1,16.875,3,1,1,0,4.0,24.0,1.0,8.0,37.0,64.86486486486487,0.0,0.0,0.0,0.0,13.0,246.0,0.0,18.923076923076927,218.0,112.8440366972477,3.0,1.0,1.0,0.0,10.0,145.0,2.0,1.0,0.0,0.0,0.0,14.5,133.0,109.02255639097744
29,T van der Gugten,58,8,52,111.53846153846152,1,8.285714285714286,1,0,0,0,4.0,37.0,1.0,12.333333333333336,21.0,176.19047619047618,1.0,0.0,0.0,0.0,4.0,21.0,0.0,5.25,31.0,67.74193548387096,0.0,0.0,0.0,0.0,8.0,58.0,1.0,0.0,0.0,0.0,1.0,8.285714285714286,52.0,111.53846153846152
30,Q de Kock,874,34,701,124.679029957204,4,29.13333333333333,3,11,2,0,11.0,321.0,2.0,35.666666666666664,251.0,127.88844621513945,0.0,4.0,1.0,0.0,23.0,553.0,2.0,26.33333333333333,450.0,122.88888888888887,3.0,7.0,1.0,0.0,10.0,285.0,1.0,2.0,2.0,0.0,1.0,31.66666666666667,213.0,133.80281690140845
31,HE van der Dussen,69,2,54,127.77777777777777,0,34.5,0,0,1,0,1.0,56.0,0.0,56.0,45.0,124.44444444444444,0.0,0.0,1.0,0.0,1.0,13.0,0.0,13.0,9.0,144.44444444444446,0.0,0.0,0.0,0.0,2.0,69.0,0.0,0.0,1.0,0.0,0.0,34.5,54.0,127.77777777777777
32,Saqib Zulfiqar,1,1,5,20.0,0,1.0,0,0,0,0,1.0,1.0,0.0,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,20.0
33,AR Nurse,72,7,68,105.88235294117645,5,36.0,1,0,0,0,1.0,6.0,1.0,0.0,3.0,200.0,0.0,0.0,0.0,0.0,6.0,66.0,4.0,33.0,65.0,101.53846153846152,1.0,0.0,0.0,0.0,7.0,72.0,1.0,0.0,0.0,0.0,5.0,36.0,68.0,105.88235294117645
34,Shafiul Islam,19,5,27,70.37037037037038,0,3.8,1,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,19.0,0.0,4.75,26.0,73.07692307692308,0.0,0.0,0.0,0.0,5.0,19.0,1.0,0.0,0.0,0.0,0.0,3.8,27.0,70.37037037037038
35,Babar Azam,1031,26,855,120.58479532163744,7,54.26315789473684,0,8,8,0,7.0,378.0,2.0,75.6,270.0,140.0,0.0,3.0,3.0,0.0,19.0,653.0,5.0,46.64285714285714,585.0,111.62393162393164,0.0,5.0,5.0,0.0,10.0,472.0,0.0,2.0,5.0,0.0,2.0,59.0,385.0,122.59740259740259
36,SC Williams,525,25,425,123.52941176470587,3,23.863636363636363,2,3,3,0,10.0,213.0,2.0,26.625,174.0,122.41379310344827,0.0,1.0,1.0,0.0,15.0,312.0,1.0,22.285714285714285,251.0,124.30278884462153,2.0,2.0,2.0,0.0,10.0,196.0,1.0,2.0,1.0,0.0,0.0,19.6,172.0,113.953488372093
